積	46962
求	46804
販	46746
央	46721
令	46710
助	46652
奏	46242
躍	46030
略	45886
波	45872
告	45595
警	45543
段	45358
久	45170
火	45124
標	44967
整	44754
卒	44660
徴	44469
五	44367
花	44245
夫	44125
階	44121
辺	43996
銀	43906
築	43867
何	43499
株	43470
伊	43424
右	43390
悪	43161
織	43140
八	42975
翌	42940
効	42810
著	42783
諸	42734
病	42551
就	42389
環	42374
検	42201
若	42127
左	42105
複	42050
満	42043
黒	41746
越	41703
圧	41640
短	41597
籍	41512
博	41392
描	41380
像	41377
宇	41261
街	41190
興	40982
旅	40860
察	40776
医	40743
赤	40741
策	40689
了	40615
端	40528
深	40516
委	40512
毎	40467
遺	40451
証	40381
徳	40205
聖	40195
清	40100
典	40046
囲	40041
因	40023
処	39985
誌	39900
功	39797
弟	39759
普	39570
舞	39569
聞	39564
植	39527
推	39486
幕	39403
浜	39237
沢	39118
未	39080
巻	39054
豊	38921
富	38912
識	38769
早	38633
算	38585
読	38547
材	38536
輸	38319
併	38315
居	38093
温	38082
留	38056
案	37891
曜	37869
弾	37866
授	37744
尾	37725
介	37625
臣	37539
減	37421
刊	37304
停	37121
農	37099
扱	37080
獲	37070
負	36968
漫	36899
養	36852
拠	36731
突	36530
板	36488
岸	36295
血	36223
写	36218
雑	36134
項	36111
習	36055
夜	35760
射	35622
伴	35511
永	35450
裁	35440
乱	35439
働	35410
森	35382
至	35323
林	35252
密	35150
盛	34976
故	34953
湾	34894
岩	34731
並	34600
望	34560
値	34496
寄	34431
春	34424
群	34342
精	34320
超	34304
泉	34303
返	34236
九	34221
便	34194
詳	34164
歩	34136
薬	33988
角	33921
援	33898
蔵	33866
婚	33812
盟	33696
抗	33592
章	33568
頼	33447
酸	33428
財	33400
席	33345
志	33308
革	33241
児	33132
布	33115
秀	33093
甲	32986
延	32968
熱	32960
核	32892
庫	32868
待	32749
秋	32519
友	32440
跡	32216
倉	32193
亡	32141
壊	32115
堂	32025
遠	31864
振	31843
賀	31748
絶	31712
許	31699
適	31661
績	31551
激	31471
具	31430
陽	31414
搭	31270
測	31248
奈	31028
敵	30983
息	30893
揮	30872
順	30730
枚	30652
雄	30573
替	30523
則	30517
砲	30400
滅	30353
途	30343
週	30253
似	30112
玉	30009
兄	29831
易	29816
景	29813
層	29804
労	29761
詞	29697
占	29620
捕	29524
魔	29432
祭	29428
幅	29405
姿	29320
邦	29305
徒	29186
承	29079
丸	28846
費	28835
鳥	28812
刑	28781
倒	28620
散	28600
抜	28542
拡	28496
印	28490
華	28463
爆	28429
盤	28407
庁	28403
貨	28201
給	28191
香	28058
紙	27874
混	27855
私	27847
候	27842
戻	27702
掲	27586
況	27485
脱	27476
輪	27451
逆	27441
忠	27375
操	27303
宝	27160
固	27121
被	27046
服	26932
軽	26887
仏	26867
律	26680
障	26457
鮮	26438
節	26299
背	26234
宿	26138
宅	26110
昇	26091
沿	26084
覚	26050
池	25945
休	25884
札	25847
険	25796
坂	25760
訳	25686
郷	25652
韓	25584
湖	25507
草	25472
宣	25456
康	25339
羽	25288
療	25285
夏	25211
液	25069
舎	25027
娘	25003
罪	24947
宙	24942
較	24851
携	24643
六	24573
之	24431
批	24406
静	24316
練	24211
講	24177
幹	24159
岐	24116
妻	24062
駆	23799
遊	23780
契	23686
課	23419
百	23360
筆	23310
襲	23105
祖	23070
純	23062
里	23038
漢	22967
禁	22894
執	22886
折	22871
互	22687
聴	22635
迎	22498
勤	22485
範	22438
仮	22433
健	22418
丁	22409
否	22275
巨	22213
審	22128
覧	22040
距	21980
憲	21885
余	21871
掛	21860
幼	21798
危	21786
買	21660
傷	21656
弁	21636
老	21631
圏	21535
沖	21511
額	21481
貴	21425
浦	21422
栄	21414
訪	21384
樹	21378
副	21291
欧	21207
傾	21124
撮	21062
絵	21062
瀬	21033
探	20975
症	20957
献	20956
塁	20892
犯	20884
肉	20835
券	20785
請	20770
枠	20765
黄	20676
兼	20670
均	20633
鹿	20605
閣	20600
隣	20571
裏	20544
仲	20461
慶	20379
毛	20363
逃	20295
既	20294
維	20237
陣	20214
冷	20143
閉	20124
竹	20114
騎	20070
敷	20060
善	20026
侵	19957
銃	19918
